Site,Timestamp,Scanner Frequency,Temperature,SNR,T1w,T2w,FSIP
Site_1,2023-01-01,2.0618101782710436,20.963074471016817,36.258020182601555,1.8081858634162273,74.94708456745354,0.8673791583542214
Site_2,2023-01-01,2.9260714596148745,20.788062963981073,39.99435346572261,1.8981774237254185,79.36333876797181,0.8364235831377399
Site_3,2023-01-01,2.5979909127171075,20.809936335948436,39.93273674147811,1.3476997753838134,70.73093655458072,0.9579397014284958
Site_4,2023-01-01,2.397987726295555,19.43796460487902,31.10863411205255,1.5449762358153385,56.710671286693355,0.9317415551001752
Site_5,2023-01-01,1.7340279606636548,19.174367377057973,35.379748303610214,1.8837490717659435,56.854280091082806,0.8996391432906278
Site_1,2023-01-08,1.733991780504304,21.237444621914054,38.895314597648564,1.560857951470098,69.50329206355566,0.9110727101875262
Site_2,2023-01-08,1.5871254182522991,21.240453578716725,36.99294781354823,0.728808564371392,49.55108583073209,0.9438403556544528
Site_3,2023-01-08,2.799264218662403,21.468289274320416,24.94696203486395,1.3644325402502198,44.41896452525579,0.8456909482662598
Site_4,2023-01-08,2.4016725176148133,21.652962210225887,29.01088270620187,1.4100725695742837,54.18488630563106,0.9992667832113484
Site_5,2023-01-08,2.5621088666940683,20.045369595443752,22.5831883030299,1.136196006953579,51.489559666163274,0.9949586324293567
Site_1,2023-01-15,1.5308767414437037,20.0060651787488,39.08102054517445,1.6046663534370842,51.8523248182396,0.9300651372693873
Site_2,2023-01-15,2.9548647782429915,21.1931807158671,32.1234926890176,1.9015505221535223,49.344310041996394,0.839908490185829
Site_3,2023-01-15,2.7486639612006325,20.599855723111062,24.572856110069253,1.8883527693601645,41.68372758545448,0.9360456484862583
Site_4,2023-01-15,1.8185086660174141,20.807867509030814,33.43401368811713,1.1762590571061982,40.714957389336554,0.8144396817958353
Site_5,2023-01-15,1.7727374508106508,21.183170677744403,32.36256480915792,0.6698570687611329,79.50889558944127,0.8061305004411613
Site_1,2023-01-22,1.7751067647801508,21.560021367270267,27.163254360656808,1.977261798443502,57.110925349434496,0.8515365777022428
Site_2,2023-01-22,1.9563633644393066,19.351980627406142,22.27115184399258,1.758347129668901,55.373065886387266,0.8925245913478633
Site_3,2023-01-22,2.2871346474483567,19.502331810559777,33.43146391185599,0.6869940218049002,67.1858913077228,0.9736545010816762
Site_4,2023-01-22,2.1479175279631737,18.375927759363478,30.406154018075867,1.8812628239260585,48.730155514602565,0.9454338139532616
Site_5,2023-01-22,1.9368437102970628,20.313120563984697,35.44636783471279,1.8048445430931923,77.99844735800902,0.9485413042399962
Site_1,2023-01-29,2.417779342083569,18.14376909518697,30.403270022239866,1.2782570856891082,71.45380057662209,0.8850986668896151
Site_2,2023-01-29,1.7092407909780627,19.86239207252984,37.043630006370805,1.3869131536173938,43.57644009249038,0.8691869985093926
Site_3,2023-01-29,1.9382169728028273,20.170578538830306,31.03813677548971,1.0985040558051953,56.70323103139714,0.8742077525969205
Site_4,2023-01-29,2.0495427649405373,19.146165008513137,31.218759430707728,0.582142458233047,75.16473230248658,0.9975299127472116
Site_5,2023-01-29,2.184104976325554,20.363333042276043,37.533072053166904,1.0027958624688513,77.7892808916564,0.8080218382824965
Site_1,2023-02-05,2.6777639420895203,18.122000999756196,28.06965732424794,1.7042801728970172,58.69606044999479,0.9734062992244897
Site_2,2023-02-05,1.7995106732375397,18.149392754996857,22.680304569012815,0.5069480345069043,64.53645556842831,0.9157350817144787
Site_3,2023-02-05,2.2713516576204174,21.290402242638635,20.57565352626678,1.0002487575367163,46.68135784368301,0.8877230838379181
Site_4,2023-02-05,2.3886218532930634,19.440762565645052,35.10274511347238,1.097253040386415,79.64674504547907,0.9450515320830273
Site_5,2023-02-05,1.5696756190799965,18.50824205060754,32.4061910270693,1.3060934044068844,49.26686805533774,0.8973337882849406
Site_1,2023-02-12,2.4113172778521577,20.088973040219216,34.08159536198447,1.8797834246191407,77.70927096540503,0.9746846476163321
Site_2,2023-02-12,1.7557861855309373,21.079974212394443,24.259283230178212,1.0195189915489418,65.98586595969473,0.9801403728022517
Site_3,2023-02-12,1.5975773894779193,18.863284109987372,22.727429511735394,1.0204298028443415,64.30947179515437,0.8843441853746911
Site_4,2023-02-12,2.92332830588,20.491561903276,20.29089331335764,1.6062518721646226,60.50754044066034,0.8553655594470103
Site_5,2023-02-12,2.948448049611839,18.341389859975074,27.011751176131938,1.1783269113347108,49.22679246871034,0.9184700657186725
Site_1,2023-02-19,2.712596022174692,18.20672688467443,31.79835373709266,0.8369072344099729,47.061121280220334,0.9824726691233382
Site_2,2023-02-19,1.956920653760056,20.125418526272593,27.844880901994646,1.17865927419904,48.819448362807016,0.8421324378011333
Site_3,2023-02-19,1.6465081710095757,20.162540486440427,28.749498440474582,0.7112855305696998,47.45753048577018,0.9245933167126965
Site_4,2023-02-19,2.526349539768235,20.549719605992827,38.08317388987497,0.764580479759335,71.18337894267013,0.9263120440185041
Site_5,2023-02-19,2.160228740609402,20.904365334890645,26.965109340466007,1.2475516591092197,54.005010366669204,0.9466226044830562
Site_1,2023-02-26,1.6830573522671681,21.90340831785014,30.279789783196215,1.1283881742568218,42.313707062535855,0.826313537025452
Site_2,2023-02-26,2.242765365166905,20.06520139320478,35.67306025482286,1.8722688516021502,78.76410520563246,0.9431649929364178
Site_3,2023-02-26,1.5515827816728276,19.291825891764983,27.930855646425403,1.0435908486749497,75.35143539853703,0.9818065041331282
